,model_name,original_length,num_stable,num_unique,num_sun_materials,num_bm_sun,num_correct_bm
0,qwen_7b_bulk_modulus_temp0.7,7357,2880,1944,1643,25,38
0,qwen_7b_dpo_bulk_modulus_all_combined_nov_dt_it1_temp0.7,7610,3828,2314,2114,28,39
0,qwen_7b_dpo_bulk_modulus_only_nov_dt_it1_temp0.7,7486,3249,2099,1828,25,39
0,qwen_7b_dpo_bulk_modulus_all_combined_nov_dt_it2_temp0.9,7503,3747,2548,2274,19,23
0,qwen_7b_dpo_bulk_modulus_all_combined_nov_dt_it3_temp0.9,7685,4509,2519,2398,23,29
0,qwen_7b_dpo_bulk_modulus_only_nov_dt_it2_temp0.9,7366,2923,2270,1861,24,31
0,qwen_7b_dpo_bulk_modulus_all_combined_nov_dt_v2_it1_temp0.7,7474,3380,2178,1916,20,30
0,qwen_7b_dpo_bulk_modulus_only_nov_dt_it3_temp0.9,7449,3198,2419,2034,23,33
0,qwen_7b_dpo_bulk_modulus_all_combined_nov_dt_it4_temp1.1,7665,4467,2418,2408,33,37
0,qwen_7b_dpo_bulk_modulus_all_combined_nov_dt_v2_it2_temp0.9,7429,3151,2439,2012,24,33
0,qwen_7b_dpo_bulk_modulus_only_nov_dt_it4_temp1.1,7397,2740,2231,1856,32,39
0,qwen_7b_dpo_bulk_modulus_all_combined_nov_dt_v2_it3_temp0.9,7554,3467,2484,2138,29,41
0,qwen_7b_dpo_bulk_modulus_all_combined_nov_dt_it5_temp1.1,7953,5894,2010,2248,27,34
0,qwen_7b_dpo_bulk_modulus_only_nov_dt_it5_temp1.1,7423,2872,2348,1920,24,28
0,qwen_7b_dpo_bulk_modulus_only_nov_dt_v2_it1_temp0.7,7391,2841,1967,1666,17,34
0,qwen_7b_dpo_bulk_modulus_all_combined_nov_dt_v2_it4_temp1.1,7487,3114,2468,2078,38,45
0,qwen_7b_dpo_bulk_modulus_only_nov_dt_v2_it2_temp0.9,7277,2438,1972,1568,22,29
0,qwen_7b_dpo_bulk_modulus_only_nov_dt_it6_temp1.3,7355,2581,2198,1819,23,27
0,qwen_7b_dpo_bulk_modulus_only_nov_dt_v2_it3_temp0.9,7281,2449,2006,1611,22,30
0,qwen_7b_dpo_bulk_modulus_only_nov_dt_it7_temp1.3,7370,2622,2181,1844,24,26
0,qwen_7b_dpo_bulk_modulus_only_nov_dt_v2_it4_temp1.1,7157,1985,1795,1407,33,35
0,qwen_7b_dpo_bulk_modulus_all_combined_nov_dt_v2_it5_temp1.1,7537,3443,2468,2213,35,44
0,qwen_7b_dpo_bulk_modulus_only_nov_dt_v2_it5_temp1.1,7202,1947,1722,1357,29,36
0,qwen_7b_dpo_bulk_modulus_only_nov_dt_v2_it6_temp1.3,7113,1546,1465,1127,28,34
0,qwen_7b_dpo_bulk_modulus_only_nov_dt_v2_it7_temp1.3,7037,1546,1432,1123,28,32
0,qwen_7b_dpo_bulk_modulus_all_combined_nov_dt_it6_temp1.3,8115,7148,1164,1679,19,27
0,qwen_7b_dpo_bulk_modulus_all_combined_nov_dt_v2_it6_temp1.3,7515,3186,2379,2077,27,36
0,qwen_7b_dpo_bulk_modulus_all_combined_nov_dt_v2_it7_temp1.3,7580,3611,2417,2241,40,54
0,qwen_7b_dpo_bulk_modulus_all_combined_nov_dt_it7_temp1.3,8191,8098,62,307,0,3
0,qwen_7b_dpo_bulk_modulus_all_combined_nov_dt_v2_it8_temp1.5,7585,3658,2445,2313,40,48
0,qwen_7b_dpo_bulk_modulus_all_combined_nov_dt_v2_it8_temp1.3,7668,4248,2377,2329,31,38
