gen_str,cif,model_name,spacegroup_number,relaxed_energy,relaxed_cif,e_above_hull
"Below is a description of a bulk material. The spacegroup number is 1. Generate a description of the lengths and angles of the lattice vectors and then the element type and coordinates for each atom within the lattice:
 In4
Spacegroup: P1
abc: 4.75 4.76 4.76
angles: 95.78 119.52 90.31
Sites (4)
In 0.250 0.251 0.000 1a
In 0.750 0.251 0.500 1a
In 0.000 0.500 0.500 1b
In 0.500 0.501 0.000 1a","# generated using pymatgen
data_In
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.75000000
_cell_length_b   4.76000000
_cell_length_c   4.76000000
_cell_angle_alpha   95.78000000
_cell_angle_beta   119.52000000
_cell_angle_gamma   90.31000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   In
_chemical_formula_sum   In4
_cell_volume   92.98773885
_cell_formula_units_Z   4
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  In  In0  1  0.25000000  0.25100000  -0.00000000  1
  In  In1  1  0.75000000  0.25100000  0.50000000  1
  In  In2  1  0.00000000  0.50000000  0.50000000  1
  In  In3  1  0.50000000  0.50100000  0.00000000  1
",7b,1,-10.883330345153809,"# generated using pymatgen
data_In
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.11733283
_cell_length_b   4.43884218
_cell_length_c   4.78748386
_cell_angle_alpha   89.58054054
_cell_angle_beta   90.56485377
_cell_angle_gamma   95.08522434
_symmetry_Int_Tables_number   1
_chemical_formula_structural   In
_chemical_formula_sum   In4
_cell_volume   108.31228362
_cell_formula_units_Z   4
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  In  In0  1  0.12265957  0.12641902  -0.00013727  1
  In  In1  1  0.62175525  0.12615972  0.50115865  1
  In  In2  1  1.12680136  0.62460390  0.49739017  1
  In  In3  1  0.62760268  0.62480826  -0.00130840  1
",0.030851143711547735
"Below is a description of a bulk material. The spacegroup number is 1. Generate a description of the lengths and angles of the lattice vectors and then the element type and coordinates for each atom within the lattice:
 In4Ag4
Spacegroup: P1
abc: 4.36 4.41 14.48
angles: 88.76 89.12 60.18
Sites (8)
In 0.545 0.548 0.132 1a
In 0.044 0.048 0.632 1a
In 0.545 0.548 0.632 1a
In 0.044 0.048 0.132 1a
Ag 0.043 0.952 0.369 1a
Ag 0.444 0.450 0.869 1a
Ag 0.953 0.551 0.369 1a
Ag 0.552 0.049 0.869 1a","# generated using pymatgen
data_InAg
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.36000000
_cell_length_b   4.41000000
_cell_length_c   14.48000000
_cell_angle_alpha   88.76000000
_cell_angle_beta   89.12000000
_cell_angle_gamma   60.18000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   InAg
_chemical_formula_sum   'In4 Ag4'
_cell_volume   241.49120943
_cell_formula_units_Z   4
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ag  Ag0  1  0.04300000  0.95200000  0.36900000  1
  Ag  Ag1  1  0.44400000  0.45000000  0.86900000  1
  Ag  Ag2  1  0.95300000  0.55100000  0.36900000  1
  Ag  Ag3  1  0.55200000  0.04900000  0.86900000  1
  In  In4  1  0.54500000  0.54800000  0.13200000  1
  In  In5  1  0.04400000  0.04800000  0.63200000  1
  In  In6  1  0.54500000  0.54800000  0.63200000  1
  In  In7  1  0.04400000  0.04800000  0.13200000  1
",7b,1,-21.90595245361328,"# generated using pymatgen
data_InAg
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.01545818
_cell_length_b   4.76716376
_cell_length_c   9.30721030
_cell_angle_alpha   84.29167293
_cell_angle_beta   90.43013386
_cell_angle_gamma   88.52624323
_symmetry_Int_Tables_number   1
_chemical_formula_structural   InAg
_chemical_formula_sum   'In4 Ag4'
_cell_volume   177.21064945
_cell_formula_units_Z   4
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ag  Ag0  1  0.41008806  0.88715930  0.37256739  1
  Ag  Ag1  1  0.06717380  0.57597048  0.87456630  1
  Ag  Ag2  1  0.89321280  0.38339766  0.37467115  1
  Ag  Ag3  1  0.57069164  0.07965819  0.87501719  1
  In  In4  1  0.53378134  0.59060678  0.11325031  1
  In  In5  1  0.07912706  0.04789171  0.63708003  1
  In  In6  1  0.57732456  0.54914010  0.63704400  1
  In  In7  1  0.03005522  0.08939495  0.11937469  1
",0.07790167177056206
"Below is a description of a bulk material. The spacegroup number is 1. Generate a description of the lengths and angles of the lattice vectors and then the element type and coordinates for each atom within the lattice:
 Al4Ni4
Spacegroup: P1
abc: 3.47 5.24 5.24
angles: 71.41 70.38 70.38
Sites (8)
Al 0.240 0.740 0.740 1a
Al 0.740 0.259 0.259 1a
Al 0.250 0.240 0.741 1a
Al 0.749 0.759 0.241 1a
Ni 0.517 0.492 0.492 1a
Ni 0.993 0.989 0.989 1a
Ni 0.501 0.507 0.993 1a
Ni 0.997 0.012 0.507 1a","# generated using pymatgen
data_AlNi
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.47000000
_cell_length_b   5.24000000
_cell_length_c   5.24000000
_cell_angle_alpha   71.41000000
_cell_angle_beta   70.38000000
_cell_angle_gamma   70.38000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   AlNi
_chemical_formula_sum   'Al4 Ni4'
_cell_volume   82.22433783
_cell_formula_units_Z   4
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Al  Al0  1  0.24000000  0.74000000  0.74000000  1
  Al  Al1  1  0.74000000  0.25900000  0.25900000  1
  Al  Al2  1  0.25000000  0.24000000  0.74100000  1
  Al  Al3  1  0.74900000  0.75900000  0.24100000  1
  Ni  Ni4  1  0.51700000  0.49200000  0.49200000  1
  Ni  Ni5  1  0.99300000  0.98900000  0.98900000  1
  Ni  Ni6  1  0.50100000  0.50700000  0.99300000  1
  Ni  Ni7  1  0.99700000  0.01200000  0.50700000  1
",7b,1,-43.35513305664063,"# generated using pymatgen
data_AlNi
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   2.92235544
_cell_length_b   6.43232918
_cell_length_c   5.74913617
_cell_angle_alpha   90.14842896
_cell_angle_beta   90.02094686
_cell_angle_gamma   63.16974781
_symmetry_Int_Tables_number   1
_chemical_formula_structural   AlNi
_chemical_formula_sum   'Al4 Ni4'
_cell_volume   96.43536634
_cell_formula_units_Z   4
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Al  Al0  1  -0.12411904  0.74874006  0.74601293  1
  Al  Al1  1  0.37362059  0.24897910  0.24562096  1
  Al  Al2  1  0.37563441  0.24791591  0.74368344  1
  Al  Al3  1  0.87513298  0.74831023  0.24459663  1
  Ni  Ni4  1  0.62190856  0.49980044  0.49529319  1
  Ni  Ni5  1  1.12331355  0.99965673  0.99542790  1
  Ni  Ni6  1  0.62809538  0.49751713  0.99458614  1
  Ni  Ni7  1  1.12622779  -0.00266428  0.49449072  1
",0.0023046179199210926
"Below is a description of a bulk material. The spacegroup number is 1. Generate a description of the lengths and angles of the lattice vectors and then the element type and coordinates for each atom within the lattice:
 Al1Pt1
Spacegroup: P1
abc: 2.92 2.92 4.90
angles: 89.89 89.49 60.23
Sites (2)
Al 0.996 0.985 0.252 1a
Pt 0.516 0.480 0.748 1a","# generated using pymatgen
data_AlPt
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   2.92000000
_cell_length_b   2.92000000
_cell_length_c   4.90000000
_cell_angle_alpha   89.89000000
_cell_angle_beta   89.49000000
_cell_angle_gamma   60.23000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   AlPt
_chemical_formula_sum   'Al1 Pt1'
_cell_volume   36.26396487
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Al  Al0  1  0.99600000  0.98500000  0.25200000  1
  Pt  Pt1  1  0.51600000  0.48000000  0.74800000  1
",7b,1,-11.651025772094728,"# generated using pymatgen
data_AlPt
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   2.93554924
_cell_length_b   2.93202255
_cell_length_c   3.41701245
_cell_angle_alpha   89.91733822
_cell_angle_beta   89.85188116
_cell_angle_gamma   89.91380319
_symmetry_Int_Tables_number   1
_chemical_formula_structural   AlPt
_chemical_formula_sum   'Al1 Pt1'
_cell_volume   29.41039414
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Al  Al0  1  1.00928927  0.98509683  0.24977801  1
  Pt  Pt1  1  0.50835762  0.48419604  0.75086375  1
",0.12526599270263628
"Below is a description of a bulk material. The spacegroup number is 1. Generate a description of the lengths and angles of the lattice vectors and then the element type and coordinates for each atom within the lattice:
 Al4Mo1
Spacegroup: P1
abc: 3.65 3.65 7.19
angles: 84.94 84.99 61.01
Sites (5)
Al 0.005 0.994 0.244 1a
Al 0.502 0.500 0.748 1a
Al 0.998 0.498 0.749 1a
Al 0.504 0.001 0.250 1a
Mo 0.500 0.999 0.750 1a","# generated using pymatgen
data_Al4Mo
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.65000000
_cell_length_b   3.65000000
_cell_length_c   7.19000000
_cell_angle_alpha   84.94000000
_cell_angle_beta   84.99000000
_cell_angle_gamma   61.01000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Al4Mo
_chemical_formula_sum   'Al4 Mo1'
_cell_volume   83.35099436
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Al  Al0  1  0.00500000  0.99400000  0.24400000  1
  Al  Al1  1  0.50200000  0.50000000  0.74800000  1
  Al  Al2  1  0.99800000  0.49800000  0.74900000  1
  Al  Al3  1  0.50400000  0.00100000  0.25000000  1
  Mo  Mo4  1  0.50000000  0.99900000  0.75000000  1
",7b,1,-26.157684326171875,"# generated using pymatgen
data_Al4Mo
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.86893659
_cell_length_b   5.10070892
_cell_length_c   5.10070511
_cell_angle_alpha   70.69689780
_cell_angle_beta   54.86677694
_cell_angle_gamma   54.86144089
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Al4Mo
_chemical_formula_sum   'Al4 Mo1'
_cell_volume   102.11813614
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Al  Al0  1  0.00226425  0.98515319  0.23467958  1
  Al  Al1  1  0.52778749  0.48522854  0.73278417  1
  Al  Al2  1  1.00079860  0.50937092  0.76164218  1
  Al  Al3  1  0.47527165  0.01188217  0.26130924  1
  Mo  Mo4  1  0.50141535  0.99740557  0.74792044  1
",0.2525890635348542
"Below is a description of a bulk material. The spacegroup number is 1. Generate a description of the lengths and angles of the lattice vectors and then the element type and coordinates for each atom within the lattice:
 Al1Cu1
Spacegroup: P1
abc: 2.64 2.64 3.76
angles: 74.98 74.98 60.38
Sites (2)
Al 0.398 0.399 0.562 1a
Cu 0.804 0.802 0.438 1a","# generated using pymatgen
data_AlCu
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   2.64000000
_cell_length_b   2.64000000
_cell_length_c   3.76000000
_cell_angle_alpha   74.98000000
_cell_angle_beta   74.98000000
_cell_angle_gamma   60.38000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   AlCu
_chemical_formula_sum   'Al1 Cu1'
_cell_volume   21.73314401
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Al  Al0  1  0.39800000  0.39900000  0.56200000  1
  Cu  Cu1  1  0.80400000  0.80200000  0.43800000  1
",7b,1,-8.02562427520752,"# generated using pymatgen
data_AlCu
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   2.69215093
_cell_length_b   2.69044295
_cell_length_c   4.22237807
_cell_angle_alpha   77.08099020
_cell_angle_beta   77.07730532
_cell_angle_gamma   71.83895718
_symmetry_Int_Tables_number   1
_chemical_formula_structural   AlCu
_chemical_formula_sum   'Al1 Cu1'
_cell_volume   27.92984761
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Al  Al0  1  0.34945922  0.34918946  0.75090138  1
  Cu  Cu1  1  0.85281663  0.85132069  0.25057779  1
",0.12300706039624032
"Below is a description of a bulk material. The spacegroup number is 1. Generate a description of the lengths and angles of the lattice vectors and then the element type and coordinates for each atom within the lattice:
 Al4
Spacegroup: P1
abc: 3.13 3.13 12.18
angles: 89.96 89.96 60.03
Sites (4)
Al 0.250 0.749 0.875 1a
Al 0.250 0.749 0.375 1a
Al 0.750 0.251 0.875 1a
Al 0.750 0.250 0.375 1a","# generated using pymatgen
data_Al
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.13000000
_cell_length_b   3.13000000
_cell_length_c   12.18000000
_cell_angle_alpha   89.96000000
_cell_angle_beta   89.96000000
_cell_angle_gamma   60.03000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Al
_chemical_formula_sum   Al4
_cell_volume   103.37074868
_cell_formula_units_Z   4
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Al  Al0  1  0.25000000  0.74900000  0.87500000  1
  Al  Al1  1  0.25000000  0.74900000  0.37500000  1
  Al  Al2  1  0.75000000  0.25100000  0.87500000  1
  Al  Al3  1  0.75000000  0.25000000  0.37500000  1
",7b,1,-11.170154571533203,"# generated using pymatgen
data_Al
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.74838155
_cell_length_b   3.75041005
_cell_length_c   11.96131486
_cell_angle_alpha   89.96762301
_cell_angle_beta   89.96764566
_cell_angle_gamma   90.33024792
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Al
_chemical_formula_sum   Al4
_cell_volume   168.14893240
_cell_formula_units_Z   4
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Al  Al0  1  0.25006938  0.75003706  0.87499537  1
  Al  Al1  1  0.24994957  0.74942844  0.37499822  1
  Al  Al2  1  0.74992426  0.24997142  0.87499512  1
  Al  Al3  1  0.75005461  0.24956764  0.37499873  1
",0.9530371871166992
"Below is a description of a bulk material. The spacegroup number is 1. Generate a description of the lengths and angles of the lattice vectors and then the element type and coordinates for each atom within the lattice:
 Al1Ga1
Spacegroup: P1
abc: 4.37 4.37 4.37
angles: 89.86 89.87 89.92
Sites (2)
Al 0.500 0.501 0.502 1a
Ga 0.999 0.999 0.999 1a","# generated using pymatgen
data_AlGa
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.37000000
_cell_length_b   4.37000000
_cell_length_c   4.37000000
_cell_angle_alpha   89.86000000
_cell_angle_beta   89.87000000
_cell_angle_gamma   89.92000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   AlGa
_chemical_formula_sum   'Al1 Ga1'
_cell_volume   83.45290836
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Al  Al0  1  0.50000000  0.50100000  0.50200000  1
  Ga  Ga1  1  0.99900000  0.99900000  0.99900000  1
",7b,1,-6.610918521881104,"# generated using pymatgen
data_AlGa
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.29739331
_cell_length_b   3.29751301
_cell_length_c   3.30450735
_cell_angle_alpha   89.76904625
_cell_angle_beta   89.78225028
_cell_angle_gamma   89.89097921
_symmetry_Int_Tables_number   1
_chemical_formula_structural   AlGa
_chemical_formula_sum   'Al1 Ga1'
_cell_volume   35.92994512
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Al  Al0  1  0.50001062  0.50101495  0.50202725  1
  Ga  Ga1  1  0.99898243  0.99897081  0.99895494  1
",0.08137666530944765
"Below is a description of a bulk material. The spacegroup number is 1. Generate a description of the lengths and angles of the lattice vectors and then the element type and coordinates for each atom within the lattice:
 Al2Cr6
Spacegroup: P1
abc: 4.40 4.87 5.66
angles: 85.64 74.68 63.52
Sites (8)
Al 0.869 0.557 0.742 1a
Al 0.139 0.438 0.259 1a
Cr 0.339 0.917 0.759 1a
Cr 0.657 0.090 0.250 1a
Cr 0.734 0.699 0.035 1a
Cr 0.277 0.312 0.974 1a
Cr 0.439 0.193 0.550 1a
Cr 0.573 0.801 0.456 1a","# generated using pymatgen
data_AlCr3
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.40000000
_cell_length_b   4.87000000
_cell_length_c   5.66000000
_cell_angle_alpha   85.64000000
_cell_angle_beta   74.68000000
_cell_angle_gamma   63.52000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   AlCr3
_chemical_formula_sum   'Al2 Cr6'
_cell_volume   104.57841998
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Al  Al0  1  0.86900000  0.55700000  0.74200000  1
  Al  Al1  1  0.13900000  0.43800000  0.25900000  1
  Cr  Cr2  1  0.33900000  0.91700000  0.75900000  1
  Cr  Cr3  1  0.65700000  0.09000000  0.25000000  1
  Cr  Cr4  1  0.73400000  0.69900000  0.03500000  1
  Cr  Cr5  1  0.27700000  0.31200000  0.97400000  1
  Cr  Cr6  1  0.43900000  0.19300000  0.55000000  1
  Cr  Cr7  1  0.57300000  0.80100000  0.45600000  1
",7b,1,-64.58926391601562,"# generated using pymatgen
data_AlCr3
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.03638192
_cell_length_b   4.39012832
_cell_length_c   6.67477711
_cell_angle_alpha   76.55843664
_cell_angle_beta   72.72267243
_cell_angle_gamma   62.85875630
_symmetry_Int_Tables_number   1
_chemical_formula_structural   AlCr3
_chemical_formula_sum   'Al2 Cr6'
_cell_volume   99.84852883
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Al  Al0  1  0.89567450  0.51382333  0.70423316  1
  Al  Al1  1  0.11010867  0.48744304  0.30151937  1
  Cr  Cr2  1  0.15353637  0.86718885  0.83640540  1
  Cr  Cr3  1  0.85108518  0.13288667  0.16915310  1
  Cr  Cr4  1  0.60911914  0.71747722  0.07080178  1
  Cr  Cr5  1  0.39627837  0.28091619  0.93466860  1
  Cr  Cr6  1  0.64320801  0.17308194  0.54837650  1
  Cr  Cr7  1  0.36294887  0.82998427  0.45691795  1
",0.19459692049805
"Below is a description of a bulk material. The spacegroup number is 1. Generate a description of the lengths and angles of the lattice vectors and then the element type and coordinates for each atom within the lattice:
 Al4Fe4Si4
Spacegroup: P1
abc: 4.56 5.01 6.35
angles: 86.79 87.25 75.33
Sites (12)
Al 0.995 0.894 0.288 1a
Al 0.502 0.626 0.443 1a
Al 0.489 0.387 0.555 1a
Al 0.997 0.104 0.711 1a
Fe 0.507 0.856 0.598 1a
Fe 0.006 0.692 0.763 1a
Fe 0.489 0.396 0.262 1a
Fe 0.997 0.144 0.406 1a
Si 0.994 0.345 0.028 1a
Si 0.495 0.089 0.170 1a
Si 0.500 0.912 0.835 1a
Si 0.002 0.656 0.974 1a","# generated using pymatgen
data_AlFeSi
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.56000000
_cell_length_b   5.01000000
_cell_length_c   6.35000000
_cell_angle_alpha   86.79000000
_cell_angle_beta   87.25000000
_cell_angle_gamma   75.33000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   AlFeSi
_chemical_formula_sum   'Al4 Fe4 Si4'
_cell_volume   140.03436458
_cell_formula_units_Z   4
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Al  Al0  1  0.99500000  0.89400000  0.28800000  1
  Al  Al1  1  0.50200000  0.62600000  0.44300000  1
  Al  Al2  1  0.48900000  0.38700000  0.55500000  1
  Al  Al3  1  0.99700000  0.10400000  0.71100000  1
  Fe  Fe4  1  0.50700000  0.85600000  0.59800000  1
  Fe  Fe5  1  0.00600000  0.69200000  0.76300000  1
  Fe  Fe6  1  0.48900000  0.39600000  0.26200000  1
  Fe  Fe7  1  0.99700000  0.14400000  0.40600000  1
  Si  Si8  1  0.99400000  0.34500000  0.02800000  1
  Si  Si9  1  0.49500000  0.08900000  0.17000000  1
  Si  Si10  1  0.50000000  0.91200000  0.83500000  1
  Si  Si11  1  0.00200000  0.65600000  0.97400000  1
",7b,1,-72.37971496582031,"# generated using pymatgen
data_AlFeSi
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.72593323
_cell_length_b   5.22667843
_cell_length_c   6.60139695
_cell_angle_alpha   88.90013171
_cell_angle_beta   87.34358855
_cell_angle_gamma   77.43237590
_symmetry_Int_Tables_number   1
_chemical_formula_structural   AlFeSi
_chemical_formula_sum   'Al4 Fe4 Si4'
_cell_volume   158.97574737
_cell_formula_units_Z   4
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Al  Al0  1  1.08968357  0.78001168  0.37886588  1
  Al  Al1  1  0.65745106  0.47326973  0.40093371  1
  Al  Al2  1  0.36440848  0.39280157  0.72763086  1
  Al  Al3  1  0.95650244  0.09488040  0.67743993  1
  Fe  Fe4  1  0.52738038  0.95140988  0.53211281  1
  Fe  Fe5  1  -0.16633391  0.56096840  0.74892966  1
  Fe  Fe6  1  0.40582288  0.51085519  0.08219144  1
  Fe  Fe7  1  1.18361729  0.29549317  0.38105854  1
  Si  Si8  1  0.94196598  0.32326284  0.05849755  1
  Si  Si9  1  0.54813568  0.03998897  0.18544318  1
  Si  Si10  1  0.46014068  0.87088631  0.86744468  1
  Si  Si11  1  -0.00861081  0.81074187  0.99326041  1
",0.26355427373236573
