gen_str,cif,model_name,spacegroup_number,relaxed_energy,relaxed_cif,e_above_hull,actual_spacegroup,is_unique0.1,is_novel0.1,sun_0.1
"Below is a description of a bulk material. The spacegroup number is 119. Generate a description of the lengths and angles of the lattice vectors and then the element type and coordinates for each atom within the lattice:
Yb2Zn4Si4
Spacegroup: I-4m2
abc: 4.02 4.02 11.23
angles: 90.00 90.00 90.00
Sites (10)
Yb 0.000 0.000 0.000 2a
Zn 0.000 0.000 0.392 4e
Si 0.000 0.500 0.749 4f","# generated using pymatgen
data_Yb(ZnSi)2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.02000000
_cell_length_b   4.02000000
_cell_length_c   11.23000000
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Yb(ZnSi)2
_chemical_formula_sum   'Yb2 Zn4 Si4'
_cell_volume   181.48129200
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Si  Si0  1  0.00000000  0.50000000  0.74900000  1
  Si  Si1  1  0.50000000  0.00000000  0.25100000  1
  Si  Si2  1  0.50000000  0.00000000  0.24900000  1
  Si  Si3  1  0.00000000  0.50000000  0.75100000  1
  Yb  Yb4  1  0.00000000  0.00000000  0.00000000  1
  Yb  Yb5  1  0.50000000  0.50000000  0.50000000  1
  Zn  Zn6  1  0.00000000  0.00000000  0.39200000  1
  Zn  Zn7  1  0.00000000  0.00000000  -0.39200000  1
  Zn  Zn8  1  0.50000000  0.50000000  0.89200000  1
  Zn  Zn9  1  0.50000000  0.50000000  0.10800000  1
",7b,119,,,,,,,
"Below is a description of a bulk material. The spacegroup number is 119. Generate a description of the lengths and angles of the lattice vectors and then the element type and coordinates for each atom within the lattice:
Sm4Pr4Zn8
Spacegroup: I-42d
abc: 7.55 7.55 7.52
angles: 90.00 90.00 90.00
Sites (16)
Sm 0.000 0.000 0.500 4b
Pr 0.000 0.000 0.000 4a
Zn 0.176 0.250 0.125 8d","# generated using pymatgen
data_PrSmZn2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   7.55000000
_cell_length_b   7.55000000
_cell_length_c   7.52000000
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   PrSmZn2
_chemical_formula_sum   'Pr4 Sm4 Zn8'
_cell_volume   428.65880000
_cell_formula_units_Z   4
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Pr  Pr0  1  0.00000000  0.00000000  0.00000000  1
  Pr  Pr1  1  0.50000000  0.00000000  0.75000000  1
  Pr  Pr2  1  0.50000000  0.50000000  0.50000000  1
  Pr  Pr3  1  0.00000000  0.50000000  0.25000000  1
  Sm  Sm4  1  0.00000000  0.00000000  0.50000000  1
  Sm  Sm5  1  0.50000000  0.00000000  0.25000000  1
  Sm  Sm6  1  0.50000000  0.50000000  0.00000000  1
  Sm  Sm7  1  0.00000000  0.50000000  0.75000000  1
  Zn  Zn8  1  0.17600000  0.25000000  0.12500000  1
  Zn  Zn9  1  -0.17600000  0.75000000  0.12500000  1
  Zn  Zn10  1  0.25000000  -0.17600000  0.87500000  1
  Zn  Zn11  1  0.75000000  0.17600000  0.87500000  1
  Zn  Zn12  1  0.67600000  0.75000000  0.62500000  1
  Zn  Zn13  1  0.32400000  1.25000000  0.62500000  1
  Zn  Zn14  1  0.75000000  0.32400000  1.37500000  1
  Zn  Zn15  1  1.25000000  0.67600000  1.37500000  1
",7b,119,-46.78736877441406,"# generated using pymatgen
data_PrSmZn2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   7.79131699
_cell_length_b   7.79536390
_cell_length_c   7.55717230
_cell_angle_alpha   90.00025405
_cell_angle_beta   90.00017384
_cell_angle_gamma   89.99997645
_symmetry_Int_Tables_number   1
_chemical_formula_structural   PrSmZn2
_chemical_formula_sum   'Pr4 Sm4 Zn8'
_cell_volume   458.99355929
_cell_formula_units_Z   4
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Pr  Pr0  1  -0.00000029  -0.00000052  -0.00018009  1
  Pr  Pr1  1  0.49999971  -0.00000019  0.75018021  1
  Pr  Pr2  1  0.50000006  0.50000004  0.49982018  1
  Pr  Pr3  1  0.00000006  0.50000039  0.25018130  1
  Sm  Sm4  1  -0.00000016  -0.00000022  0.49999656  1
  Sm  Sm5  1  0.50000031  0.00000011  0.25000349  1
  Sm  Sm6  1  0.50000008  0.50000014  -0.00000358  1
  Sm  Sm7  1  -0.00000015  0.49999992  0.75000402  1
  Zn  Zn8  1  0.25396226  0.24999990  0.12499924  1
  Zn  Zn9  1  0.74603757  0.75000004  0.12499921  1
  Zn  Zn10  1  0.24999966  0.74571332  0.87499875  1
  Zn  Zn11  1  0.75000082  0.25428675  0.87499993  1
  Zn  Zn12  1  0.75396324  0.75000009  0.62500085  1
  Zn  Zn13  1  0.24603844  0.25000016  0.62499824  1
  Zn  Zn14  1  0.75000051  0.24571447  0.37499956  1
  Zn  Zn15  1  0.25000040  0.75428682  0.37499912  1
",0.3985421390991215,122.0,,,
"Below is a description of a bulk material. The spacegroup number is 119. Generate a description of the lengths and angles of the lattice vectors and then the element type and coordinates for each atom within the lattice:
Ce2Si4Ru4
Spacegroup: I4/mmm
abc: 4.16 4.16 9.73
angles: 90.00 90.00 90.00
Sites (10)
Ce 0.000 0.000 0.000 2a
Si 0.000 0.000 0.383 4e
Ru 0.000 0.500 0.250 4d","# generated using pymatgen
data_Ce(SiRu)2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.16000000
_cell_length_b   4.16000000
_cell_length_c   9.73000000
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Ce(SiRu)2
_chemical_formula_sum   'Ce2 Si4 Ru4'
_cell_volume   168.38348800
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ce  Ce0  1  0.00000000  0.00000000  0.00000000  1
  Ce  Ce1  1  0.50000000  0.50000000  0.50000000  1
  Ru  Ru2  1  0.00000000  0.50000000  0.25000000  1
  Ru  Ru3  1  0.50000000  0.00000000  0.25000000  1
  Ru  Ru4  1  0.50000000  0.00000000  0.75000000  1
  Ru  Ru5  1  0.00000000  0.50000000  0.75000000  1
  Si  Si6  1  0.00000000  0.00000000  0.38300000  1
  Si  Si7  1  0.00000000  0.00000000  -0.38300000  1
  Si  Si8  1  0.50000000  0.50000000  0.88300000  1
  Si  Si9  1  0.50000000  0.50000000  0.11700000  1
",7b,119,,,,,,,
"Below is a description of a bulk material. The spacegroup number is 119. Generate a description of the lengths and angles of the lattice vectors and then the element type and coordinates for each atom within the lattice:
Ba2Li2Sb2
Spacegroup: I-4m2
abc: 4.71 4.71 9.23
angles: 90.00 90.00 90.00
Sites (6)
Ba 0.000 0.000 0.000 2a
Li 0.000 0.500 0.750 2d
Sb 0.000 0.500 0.250 2c","# generated using pymatgen
data_BaLiSb
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.71000000
_cell_length_b   4.71000000
_cell_length_c   9.23000000
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   BaLiSb
_chemical_formula_sum   'Ba2 Li2 Sb2'
_cell_volume   204.75924300
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ba  Ba0  1  0.00000000  0.00000000  0.00000000  1
  Ba  Ba1  1  0.50000000  0.50000000  0.50000000  1
  Li  Li2  1  0.00000000  0.50000000  0.75000000  1
  Li  Li3  1  0.50000000  0.00000000  0.25000000  1
  Sb  Sb4  1  0.00000000  0.50000000  0.25000000  1
  Sb  Sb5  1  0.50000000  0.00000000  0.75000000  1
",7b,119,-18.800235748291016,"# generated using pymatgen
data_BaLiSb
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.39355659
_cell_length_b   4.39463663
_cell_length_c   11.03457928
_cell_angle_alpha   89.99974820
_cell_angle_beta   89.99988991
_cell_angle_gamma   89.48795375
_symmetry_Int_Tables_number   1
_chemical_formula_structural   BaLiSb
_chemical_formula_sum   'Ba2 Li2 Sb2'
_cell_volume   213.04808367
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ba  Ba0  1  0.00000006  -0.00000016  -0.00000940  1
  Ba  Ba1  1  0.49999987  0.50000011  0.49999035  1
  Li  Li2  1  -0.00000019  0.49999987  0.75000440  1
  Li  Li3  1  0.49999972  -0.00000005  0.25000396  1
  Sb  Sb4  1  0.00000033  0.49999992  0.25003108  1
  Sb  Sb5  1  0.50000078  0.00000095  0.75003011  1
",0.5278410102848303,22.0,,,
"Below is a description of a bulk material. The spacegroup number is 119. Generate a description of the lengths and angles of the lattice vectors and then the element type and coordinates for each atom within the lattice:
Ti4Fe4Si4
Spacegroup: I41md
abc: 3.62 3.62 11.03
angles: 90.00 90.00 90.00
Sites (12)
Ti 0.000 0.000 0.502 4a
Fe 0.000 0.000 0.000 4a
Si 0.000 0.000 0.834 4a","# generated using pymatgen
data_TiFeSi
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.62000000
_cell_length_b   3.62000000
_cell_length_c   11.03000000
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   TiFeSi
_chemical_formula_sum   'Ti4 Fe4 Si4'
_cell_volume   144.54153200
_cell_formula_units_Z   4
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Fe  Fe0  1  0.00000000  0.00000000  0.00000000  1
  Fe  Fe1  1  0.00000000  0.50000000  0.25000000  1
  Fe  Fe2  1  0.50000000  0.50000000  0.50000000  1
  Fe  Fe3  1  0.50000000  0.00000000  0.75000000  1
  Si  Si4  1  0.00000000  0.00000000  0.83400000  1
  Si  Si5  1  0.00000000  0.50000000  0.08400000  1
  Si  Si6  1  0.50000000  0.50000000  0.33400000  1
  Si  Si7  1  0.50000000  0.00000000  0.58400000  1
  Ti  Ti8  1  0.00000000  0.00000000  0.50200000  1
  Ti  Ti9  1  0.00000000  0.50000000  0.75200000  1
  Ti  Ti10  1  0.50000000  0.50000000  1.00200000  1
  Ti  Ti11  1  0.50000000  1.00000000  1.25200000  1
",7b,119,-88.86016082763672,"# generated using pymatgen
data_TiFeSi
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.86244988
_cell_length_b   3.86287928
_cell_length_c   12.06712055
_cell_angle_alpha   89.99979627
_cell_angle_beta   89.99966351
_cell_angle_gamma   90.00110367
_symmetry_Int_Tables_number   1
_chemical_formula_structural   TiFeSi
_chemical_formula_sum   'Ti4 Fe4 Si4'
_cell_volume   180.04358191
_cell_formula_units_Z   4
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ti  Ti0  1  -0.00000240  -0.00000156  0.43092822  1
  Ti  Ti1  1  -0.00000075  0.50001455  0.68093818  1
  Ti  Ti2  1  0.49999917  0.50000386  -0.06907002  1
  Ti  Ti3  1  0.49999007  0.00000447  0.18093685  1
  Fe  Fe4  1  0.00001434  -0.00000196  0.04178394  1
  Fe  Fe5  1  -0.00000097  0.49999774  0.29178535  1
  Fe  Fe6  1  0.49998718  0.50001527  0.54178400  1
  Fe  Fe7  1  0.50000048  0.00001090  0.79178510  1
  Si  Si8  1  -0.00000346  0.00000050  0.86183083  1
  Si  Si9  1  -0.00001391  0.49999890  0.11181319  1
  Si  Si10  1  0.50000086  0.49999792  0.36183116  1
  Si  Si11  1  0.49998803  0.00001453  0.61181278  1
",0.5529495068636052,109.0,,,
"Below is a description of a bulk material. The spacegroup number is 119. Generate a description of the lengths and angles of the lattice vectors and then the element type and coordinates for each atom within the lattice:
Li2Co4O8
Spacegroup: I-4m2
abc: 3.75 3.75 12.29
angles: 90.00 90.00 90.00
Sites (14)
Li 0.000 0.500 0.250 2c
Co 0.000 0.000 0.624 4e
O 0.000 0.000 0.155 4e
O 0.000 0.500 0.031 4f","# generated using pymatgen
data_Li(CoO2)2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.75000000
_cell_length_b   3.75000000
_cell_length_c   12.29000000
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Li(CoO2)2
_chemical_formula_sum   'Li2 Co4 O8'
_cell_volume   172.82812500
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Co  Co0  1  0.00000000  0.00000000  0.62400000  1
  Co  Co1  1  0.00000000  0.00000000  -0.62400000  1
  Co  Co2  1  0.50000000  0.50000000  1.12400000  1
  Co  Co3  1  0.50000000  0.50000000  -0.12400000  1
  Li  Li4  1  0.00000000  0.50000000  0.25000000  1
  Li  Li5  1  0.50000000  0.00000000  0.75000000  1
  O  O6  1  0.00000000  0.00000000  0.15500000  1
  O  O7  1  0.00000000  0.00000000  0.84500000  1
  O  O8  1  0.50000000  0.50000000  0.65500000  1
  O  O9  1  0.50000000  0.50000000  0.34500000  1
  O  O10  1  0.00000000  0.50000000  0.03100000  1
  O  O11  1  0.50000000  0.00000000  0.96900000  1
  O  O12  1  0.50000000  0.00000000  0.53100000  1
  O  O13  1  0.00000000  0.50000000  0.46900000  1
",7b,119,,,,,,,
"Below is a description of a bulk material. The spacegroup number is 119. Generate a description of the lengths and angles of the lattice vectors and then the element type and coordinates for each atom within the lattice:
Ce2Si4Au4
Spacegroup: I-4m2
abc: 4.24 4.24 10.59
angles: 90.00 90.00 90.00
Sites (10)
Ce 0.000 0.000 0.000 2a
Si 0.000 0.000 0.378 4e
Au 0.000 0.500 0.750 2d
Au 0.000 0.500 0.250 2c","# generated using pymatgen
data_Ce(SiAu)2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.24000000
_cell_length_b   4.24000000
_cell_length_c   10.59000000
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Ce(SiAu)2
_chemical_formula_sum   'Ce2 Si4 Au4'
_cell_volume   190.38278400
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Au  Au0  1  0.00000000  0.50000000  0.75000000  1
  Au  Au1  1  0.50000000  -0.00000000  0.25000000  1
  Au  Au2  1  0.00000000  0.50000000  0.25000000  1
  Au  Au3  1  0.50000000  -0.00000000  0.75000000  1
  Ce  Ce4  1  0.00000000  0.00000000  0.00000000  1
  Ce  Ce5  1  0.50000000  0.50000000  0.50000000  1
  Si  Si6  1  0.00000000  0.00000000  0.37800000  1
  Si  Si7  1  0.00000000  0.00000000  -0.37800000  1
  Si  Si8  1  0.50000000  0.50000000  0.87800000  1
  Si  Si9  1  0.50000000  0.50000000  0.12200000  1
",7b,119,-52.43449020385742,"# generated using pymatgen
data_Ce(SiAu)2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.31780958
_cell_length_b   4.31777668
_cell_length_c   10.31828880
_cell_angle_alpha   90.00005356
_cell_angle_beta   90.00003727
_cell_angle_gamma   89.99991118
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Ce(SiAu)2
_chemical_formula_sum   'Ce2 Si4 Au4'
_cell_volume   192.36734079
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ce  Ce0  1  -0.00000005  -0.00000005  0.00000004  1
  Ce  Ce1  1  0.50000001  0.49999986  0.50000011  1
  Si  Si2  1  0.00000250  0.00000165  0.38713431  1
  Si  Si3  1  0.00000247  -0.00000121  0.61286676  1
  Si  Si4  1  0.50000026  0.49999743  0.88713359  1
  Si  Si5  1  0.50000191  0.50000112  0.11286546  1
  Au  Au6  1  -0.00000019  0.49999998  0.74999792  1
  Au  Au7  1  0.49999987  -0.00000016  0.24999787  1
  Au  Au8  1  -0.00000016  0.50000018  0.25000204  1
  Au  Au9  1  0.50000016  0.00000030  0.75000178  1
",-0.0239263823857394,139.0,False,False,False
"Below is a description of a bulk material. The spacegroup number is 119. Generate a description of the lengths and angles of the lattice vectors and then the element type and coordinates for each atom within the lattice:
Yb2Mn2O6
Spacegroup: I-4m2
abc: 3.84 3.84 9.36
angles: 90.00 90.00 90.00
Sites (10)
Yb 0.000 0.000 0.000 2a
Mn 0.000 0.500 0.750 2d
O 0.000 0.000 0.369 4e
O 0.000 0.500 0.250 2c","# generated using pymatgen
data_YbMnO3
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.84000000
_cell_length_b   3.84000000
_cell_length_c   9.36000000
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   YbMnO3
_chemical_formula_sum   'Yb2 Mn2 O6'
_cell_volume   138.01881600
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Mn  Mn0  1  0.00000000  0.50000000  0.75000000  1
  Mn  Mn1  1  0.50000000  -0.00000000  0.25000000  1
  O  O2  1  0.00000000  0.00000000  0.36900000  1
  O  O3  1  0.00000000  0.00000000  -0.36900000  1
  O  O4  1  0.50000000  0.50000000  0.86900000  1
  O  O5  1  0.50000000  0.50000000  0.13100000  1
  O  O6  1  0.00000000  0.50000000  0.25000000  1
  O  O7  1  0.50000000  -0.00000000  0.75000000  1
  Yb  Yb8  1  0.00000000  0.00000000  0.00000000  1
  Yb  Yb9  1  0.50000000  0.50000000  0.50000000  1
",7b,119,-65.30632019042969,"# generated using pymatgen
data_YbMnO3
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.08472275
_cell_length_b   3.08462022
_cell_length_c   13.81019878
_cell_angle_alpha   89.99928966
_cell_angle_beta   89.99843817
_cell_angle_gamma   89.89968896
_symmetry_Int_Tables_number   1
_chemical_formula_structural   YbMnO3
_chemical_formula_sum   'Yb2 Mn2 O6'
_cell_volume   131.40657693
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Yb  Yb0  1  -0.00000008  -0.00000143  -0.00042209  1
  Yb  Yb1  1  0.49999805  0.49999906  0.49958613  1
  Mn  Mn2  1  0.00000109  0.49999761  0.74975447  1
  Mn  Mn3  1  0.49999040  0.00001675  0.24975882  1
  O  O4  1  0.00000991  -0.00000334  0.44281306  1
  O  O5  1  -0.00000071  -0.00000977  0.55538586  1
  O  O6  1  0.50001975  0.50000845  0.94280469  1
  O  O7  1  0.49999809  0.49999578  0.05537612  1
  O  O8  1  -0.00000880  0.50003389  0.24911499  1
  O  O9  1  0.49998813  0.00001204  0.74911825  1
",0.6686816689570305,44.0,,,
"Below is a description of a bulk material. The spacegroup number is 119. Generate a description of the lengths and angles of the lattice vectors and then the element type and coordinates for each atom within the lattice:
Ti4Fe4Ni4B4
Spacegroup: I4/mmm
abc: 3.41 3.41 15.30
angles: 90.00 90.00 90.00
Sites (16)
Ti 0.000 0.000 0.689 4e
Fe 0.000 0.500 0.000 4c
Ni 0.000 0.000 0.112 4e
B 0.000 0.000 0.500 2b
B 0.000 0.000 0.000 2a","# generated using pymatgen
data_TiFeNiB
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.41000000
_cell_length_b   3.41000000
_cell_length_c   15.30000000
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   TiFeNiB
_chemical_formula_sum   'Ti4 Fe4 Ni4 B4'
_cell_volume   177.90993000
_cell_formula_units_Z   4
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  B  B0  1  0.00000000  0.00000000  0.50000000  1
  B  B1  1  0.50000000  0.50000000  0.00000000  1
  B  B2  1  0.00000000  0.00000000  0.00000000  1
  B  B3  1  0.50000000  0.50000000  0.50000000  1
  Fe  Fe4  1  0.00000000  0.50000000  0.00000000  1
  Fe  Fe5  1  0.50000000  0.00000000  0.00000000  1
  Fe  Fe6  1  0.50000000  0.00000000  0.50000000  1
  Fe  Fe7  1  0.00000000  0.50000000  0.50000000  1
  Ni  Ni8  1  0.00000000  0.00000000  0.11200000  1
  Ni  Ni9  1  0.00000000  0.00000000  0.88800000  1
  Ni  Ni10  1  0.50000000  0.50000000  0.61200000  1
  Ni  Ni11  1  0.50000000  0.50000000  0.38800000  1
  Ti  Ti12  1  0.00000000  0.00000000  0.68900000  1
  Ti  Ti13  1  0.00000000  0.00000000  -0.68900000  1
  Ti  Ti14  1  0.50000000  0.50000000  1.18900000  1
  Ti  Ti15  1  0.50000000  0.50000000  -0.18900000  1
",7b,119,,,,,,,
"Below is a description of a bulk material. The spacegroup number is 119. Generate a description of the lengths and angles of the lattice vectors and then the element type and coordinates for each atom within the lattice:
Nd2Cu4As4
Spacegroup: I-4m2
abc: 4.25 4.25 10.87
angles: 90.00 90.00 90.00
Sites (10)
Nd 0.000 0.000 0.000 2a
Cu 0.000 0.500 0.250 4d
As 0.000 0.000 0.377 4e","# generated using pymatgen
data_Nd(CuAs)2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.25000000
_cell_length_b   4.25000000
_cell_length_c   10.87000000
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Nd(CuAs)2
_chemical_formula_sum   'Nd2 Cu4 As4'
_cell_volume   196.33937500
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  As  As0  1  0.00000000  0.00000000  0.37700000  1
  As  As1  1  0.00000000  0.00000000  -0.37700000  1
  As  As2  1  0.50000000  0.50000000  0.87700000  1
  As  As3  1  0.50000000  0.50000000  0.12300000  1
  Cu  Cu4  1  0.00000000  0.50000000  0.75000000  1
  Cu  Cu5  1  0.50000000  -0.00000000  0.25000000  1
  Cu  Cu6  1  0.00000000  0.50000000  0.25000000  1
  Cu  Cu7  1  0.50000000  -0.00000000  0.75000000  1
  Nd  Nd8  1  0.00000000  0.00000000  0.00000000  1
  Nd  Nd9  1  0.50000000  0.50000000  0.50000000  1
",7b,119,-50.59003448486328,"# generated using pymatgen
data_Nd(CuAs)2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.99106932
_cell_length_b   3.99056530
_cell_length_c   11.52630711
_cell_angle_alpha   90.00003951
_cell_angle_beta   89.99971767
_cell_angle_gamma   89.99944555
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Nd(CuAs)2
_chemical_formula_sum   'Nd2 Cu4 As4'
_cell_volume   183.57514469
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Nd  Nd0  1  -0.00000136  -0.00000077  -0.00000029  1
  Nd  Nd1  1  0.49999965  0.50000096  0.50000036  1
  Cu  Cu2  1  0.00000087  0.49999941  0.75001613  1
  Cu  Cu3  1  0.50000070  0.00000103  0.25001826  1
  Cu  Cu4  1  -0.00000013  0.49999991  0.24998373  1
  Cu  Cu5  1  0.50000211  0.00000086  0.74998415  1
  As  As6  1  0.00000439  0.00000049  0.37655314  1
  As  As7  1  0.00000488  0.00000021  0.62344690  1
  As  As8  1  0.49999914  0.50000080  0.87654598  1
  As  As9  1  0.50000150  0.50000070  0.12344920  1
",-0.0007419274863273,139.0,True,True,True
